,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
0,adult,0.6431177446102819,0.8534867051277919,0.6319878107334133,0.4096924873491631,0.915217391304348,0.5660123689163754,none,none,0.5137944611368225,attribute_1,0.559365846842548,0.0835870856279019,0.709737528616302,0.0254226618705036,0.4700026535285432,RandomOverSampler
1,adult,0.6431177446102819,0.8534867051277919,0.6319878107334133,0.4096924873491631,0.915217391304348,0.5660123689163754,none,none,0.5389585486500108,attribute_2,0.2605246223994654,0.6017478948172778,0.1967505444210681,0.6264287766658257,0.6348823626710975,RandomOverSampler
2,adult,0.6306246545052515,0.8457110258806846,0.5963962544225514,0.4015137180700094,0.922608695652174,0.5595253790375742,balance_output,none,0.5137944611368225,attribute_1,0.5645344560767079,0.0978403747956655,0.6618484800085184,0.0245143947277141,0.4770097387376216,RandomOverSampler
3,adult,0.6306246545052515,0.8457110258806846,0.5963962544225514,0.4015137180700094,0.922608695652174,0.5595253790375742,balance_output,none,0.5389585486500108,attribute_2,0.2373399909966886,0.6418904446835411,0.1736486361790868,0.6765754757190783,0.6542160219959301,RandomOverSampler
4,adult,0.6145936981757877,0.8473498243465368,0.607233624235649,0.3914317099963383,0.9295652173913044,0.5508889461479001,balance_attribute,attribute_1,0.5137944611368225,attribute_1,0.2799686921997227,0.5832649926452402,0.25,0.5621517254863623,0.5375883378903655,RandomOverSampler
5,adult,0.6145936981757877,0.8473498243465368,0.607233624235649,0.3914317099963383,0.9295652173913044,0.5508889461479001,balance_attribute,attribute_1,0.5389585486500108,attribute_2,0.2071195203389222,0.6919408755460147,0.1456506293138448,0.735092674641855,0.6779121080888484,RandomOverSampler
6,adult,0.6263128800442234,0.8522029200373868,0.6331436789477242,0.3982667671439336,0.9191304347826088,0.5557308096740273,balance_attribute,attribute_2,0.5137944611368225,attribute_1,0.5879138116944232,0.0649186734484218,0.7691263376457436,0.0242536032944406,0.4758907376058359,RandomOverSampler
7,adult,0.6263128800442234,0.8522029200373868,0.6331436789477242,0.3982667671439336,0.9191304347826088,0.5557308096740273,balance_attribute,attribute_2,0.5389585486500108,attribute_2,0.2256508758896293,0.6588474273379012,0.1600390322223452,0.7015173887902194,0.6627749493688075,RandomOverSampler
8,adult,0.5729132117191819,0.8413522738260224,0.5955157568148831,0.3662044170518747,0.93,0.5254882692543914,balance_attribute,all,0.5137944611368225,attribute_1,0.2463849147396977,0.6313037647399962,0.25,0.6061176358482026,0.5459495268664455,RandomOverSampler
9,adult,0.5729132117191819,0.8413522738260224,0.5955157568148831,0.3662044170518747,0.93,0.5254882692543914,balance_attribute,all,0.5389585486500108,attribute_2,0.1423141824247629,0.7945858463451873,0.0808903591333555,0.860656766998563,0.7242183275202991,RandomOverSampler
10,adult,0.6249861802100608,0.8569119154284979,0.6276147979410656,0.3985507246376811,0.932608695652174,0.5584483207498048,balance_output_for_attribute,attribute_1,0.5137944611368225,attribute_1,0.2222692980837864,0.6433278116777382,0.25,0.6458501316991883,0.5258360967052939,RandomOverSampler
11,adult,0.6249861802100608,0.8569119154284979,0.6276147979410656,0.3985507246376811,0.932608695652174,0.5584483207498048,balance_output_for_attribute,attribute_1,0.5389585486500108,attribute_2,0.2363733778159513,0.6488614321208083,0.1761156018159672,0.6791147157325585,0.6566171999305621,RandomOverSampler
12,adult,0.5930348258706468,0.8376261643085054,0.5965554660988532,0.3773316752531533,0.9234782608695652,0.5357548240635641,balance_output_for_attribute,attribute_2,0.5137944611368225,attribute_1,0.5945047441531839,0.0933685530949968,0.6589735399031038,0.0226449855815443,0.511701745383868,RandomOverSampler
13,adult,0.5930348258706468,0.8376261643085054,0.5965554660988532,0.3773316752531533,0.9234782608695652,0.5357548240635641,balance_output_for_attribute,attribute_2,0.5389585486500108,attribute_2,0.1192922182115446,0.8197368651682299,0.0441031816336323,0.9178568236814606,0.7378974898872617,RandomOverSampler
14,adult,0.5854063018242123,0.8411881264704933,0.6039897546085908,0.3732960503320517,0.928695652173913,0.5325355272999253,balance_output_for_attribute,all,0.5137944611368225,attribute_1,0.2635540466348017,0.5971224575434438,0.3333333333333333,0.5947307197307198,0.5478220249459399,RandomOverSampler
15,adult,0.5854063018242123,0.8411881264704933,0.6039897546085908,0.3732960503320517,0.928695652173913,0.5325355272999253,balance_output_for_attribute,all,0.5389585486500108,attribute_2,0.1046753698676292,0.8431164939236399,0.0314707673568819,0.9421462158531124,0.7474847735715774,RandomOverSampler
16,german,0.695,0.7579035941819932,0.8666864222314311,0.8508771929824561,0.6879432624113475,0.7607843137254902,none,none,0.7418892528252895,attribute_1,0.0724206349206348,0.877310924369748,0.1568627450980391,0.5294117647058825,0.7160962049528786,RandomOverSampler
17,german,0.695,0.7579035941819932,0.8666864222314311,0.8508771929824561,0.6879432624113475,0.7607843137254902,none,none,0.6525319013877969,attribute_2,0.2874674029759165,0.5429268292682927,0.3695652173913043,0.0,0.5255246634863349,RandomOverSampler
18,german,0.65,0.7467844692871739,0.8626938841565646,0.865979381443299,0.5957446808510638,0.7058823529411765,balance_output,none,0.7418892528252895,attribute_1,0.1279761904761905,0.7542857142857142,0.1442577030812325,0.4491978609625668,0.6774496679466248,RandomOverSampler
19,german,0.65,0.7467844692871739,0.8626938841565646,0.865979381443299,0.5957446808510638,0.7058823529411765,balance_output,none,0.6525319013877969,attribute_2,0.2419082681392851,0.5474892395982783,0.2826086956521739,0.0,0.5338519740822925,RandomOverSampler
20,german,0.69,0.7614496934727731,0.8706070260946206,0.8623853211009175,0.6666666666666666,0.7519999999999999,balance_attribute,attribute_1,0.7418892528252895,attribute_1,0.0873015873015872,0.8466898954703833,0.1092436974789915,0.6176470588235294,0.7074083116093058,RandomOverSampler
21,german,0.69,0.7614496934727731,0.8706070260946206,0.8623853211009175,0.6666666666666666,0.7519999999999999,balance_attribute,attribute_1,0.6525319013877969,attribute_2,0.2560208620954133,0.5715019255455713,0.2525284450063211,0.2527472527472527,0.5394229286555554,RandomOverSampler
22,german,0.67,0.729474696477942,0.8473937682531099,0.8378378378378378,0.6595744680851063,0.7380952380952381,balance_attribute,attribute_2,0.7418892528252895,attribute_1,0.0515873015873015,0.9094076655052266,0.0980392156862745,0.7058823529411765,0.7259435502058915,RandomOverSampler
23,german,0.67,0.729474696477942,0.8473937682531099,0.8378378378378378,0.6595744680851063,0.7380952380952381,balance_attribute,attribute_2,0.6525319013877969,attribute_2,0.2685994784476146,0.5597183806889616,0.2926421404682274,0.2081447963800905,0.533795184115995,RandomOverSampler
24,german,0.645,0.6539247505709821,0.8027900393917561,0.8125,0.6453900709219859,0.7193675889328063,balance_attribute,all,0.7418892528252895,attribute_1,0.0158730158730158,0.9722222222222224,0.0868347338935573,0.7720588235294118,0.7407584870599984,RandomOverSampler
